DE,PA,NJ,GA,CT,MA,MD,SC,NH,VA,NY,NC,RI,VT,KY,TN,OH,LA,IN,MS,IL,AL,ME,MO,AR,MI,FL,TX,IA,WI,CA,MN,OR,KS,WV,NV,NE,CO,ND,SD,MT,WA,ID,WY,UT,OK,NM,AZ,AK,HI
1,	8,	4,	3,	5,	8,	6,	5,	3,	10,	6,	5,	1,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
1,	13,	5,	2,	7,	14,	8,	6,	4,	19,	10,	10,	2,	2,	2,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
1,	18,	6,	4,	7,	17,	9,	8,	5,	22,	17,	12,	2,	4,	6,	3,	1,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
2,	23,	6,	6,	7,	20,	9,	9,	6,	23,	27,	13,	2,	6,	10,	6,	6,	1,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
1,	26,	6,	7,	6,	13,	9,	9,	6,	22,	34,	13,	2,	5,	12,	9,	14,	3,	3,	1,	1,	3,	7,	1,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
1,	28,	6,	9,	6,	12,	8,	9,	5,	21,	40,	13,	2,	5,	13,	13,	19,	3,	7,	2,	3,	5,	8,	2,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
1,	24,	5,	8,	4,	10,	6,	7,	4,	15,	34,	9,	2,	4,	10,	11,	21,	4,	10,	4,	7,	7,	7,	5,	1,	3,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
1,	25,	5,	8,	4,	11,	6,	6,	3,	13,	33,	8,	2,	3,	10,	10,	21,	4,	11,	5,	9,	7,	6,	7,	2,	4,	1,	2,	2,	3,	2,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
1,	24,	5,	7,	4,	10,	5,	4,	3,	11,	31,	7,	2,	3,	9,	8,	19,	5,	11,	5,	14,	6,	5,	9,	3,	6,	1,	4,	6,	6,	3,	2,	1,	1,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
1,	27,	7,	9,	4,	11,	6,	5,	3,	9,	33,	8,	2,	3,	10,	10,	20,	6,	13,	6,	19,	8,	5,	13,	4,	9,	2,	6,	9,	8,	4,	3,	1,	3,	3,	1,	1,	,	,	,	,	,	,	,	,	,	,	,	,	
