1 	DE 	1 	1 	1 	2 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1
2 	PA 	8 	13 	18 	23 	26 	28 	24 	25 	24 	27 	28 	30 	32 	36 	34 	33 	30 	27 	25 	23 	21 	19 	18 	17
3 	NJ 	4 	5 	6 	6 	6 	6 	5 	5 	5 	7 	7 	8 	10 	12 	14 	14 	14 	15 	15 	14 	13 	13 	12 	12
4 	GA 	3 	2 	4 	6 	7 	9 	8 	8 	7 	9 	10 	11 	11 	12 	10 	10 	10 	10 	10 	10 	11 	13 	14 	14
5 	CT 	5 	7 	7 	7 	6 	6 	4 	4 	4 	4 	4 	4 	5 	5 	6 	6 	6 	6 	6 	6 	6 	5 	5 	5
6 	MA 	8 	14 	17 	20 	13 	12 	10 	11 	10 	11 	12 	13 	14 	16 	15 	14 	14 	12 	12 	11 	10 	10 	9 	9
7 	MD 	6 	8 	9 	9 	9 	8 	6 	6 	5 	6 	6 	6 	6 	6 	6 	6 	7 	8 	8 	8 	8 	8 	8 	8
8 	SC 	5 	6 	8 	9 	9 	9 	7 	6 	4 	5 	7 	7 	7 	7 	6 	6 	6 	6 	6 	6 	6 	6 	7 	7
9 	NH 	3 	4 	5 	6 	6 	5 	4 	3 	3 	3 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2
10 	VA 	10 	19 	22 	23 	22 	21 	15 	13 	11 	9 	10 	10 	10 	10 	9 	9 	10 	10 	10 	10 	11 	11 	11 	11
11 	NY 	6 	10 	17 	27 	34 	40 	34 	33 	31 	33 	34 	34 	37 	43 	45 	45 	43 	41 	39 	34 	31 	29 	27 	26
12 	NC 	5 	10 	12 	13 	13 	13 	9 	8 	7 	8 	9 	9 	10 	10 	11 	12 	12 	11 	11 	11 	12 	13 	13 	14
13 	RI 	1 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	3 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2
14 	VT 	– 	2 	4 	6 	5 	5 	4 	3 	3 	3 	2 	2 	2 	2 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1
15 	KY 	– 	2 	6 	10 	12 	13 	10 	10 	9 	10 	11 	11 	11 	11 	9 	9 	8 	7 	7 	7 	6 	6 	6 	6
16 	TN 	– 	– 	3 	6 	9 	13 	11 	10 	8 	10 	10 	10 	10 	10 	9 	10 	9 	9 	8 	9 	9 	9 	9 	9
17 	OH 	– 	– 	1 	6 	14 	19 	21 	21 	19 	20 	21 	21 	21 	22 	24 	23 	23 	24 	23 	21 	19 	18 	16 	15
18 	LA 	– 	– 	– 	1 	3 	3 	4 	4 	5 	6 	6 	6 	7 	8 	8 	8 	8 	8 	8 	8 	7 	7 	6 	6
19 	IN 	– 	– 	– 	– 	3 	7 	10 	11 	11 	13 	13 	13 	13 	13 	12 	11 	11 	11 	11 	10 	10 	9 	9 	9
20 	MS 	– 	– 	– 	– 	1 	2 	4 	5 	5 	6 	7 	7 	8 	8 	7 	7 	6 	5 	5 	5 	5 	4 	4 	4
21 	IL 	– 	– 	– 	– 	1 	3 	7 	9 	14 	19 	20 	22 	25 	27 	27 	26 	25 	24 	24 	22 	20 	19 	18 	17
22 	AL 	– 	– 	– 	– 	3 	5 	7 	7 	6 	8 	8 	9 	9 	10 	9 	9 	9 	8 	7 	7 	7 	7 	7 	7
23 	ME 	– 	– 	– 	– 	7 	8 	7 	6 	5 	5 	4 	4 	4 	4 	3 	3 	3 	2 	2 	2 	2 	2 	2 	2
24 	MO 	– 	– 	– 	– 	1 	2 	5 	7 	9 	13 	14 	15 	16 	16 	13 	13 	11 	10 	10 	9 	9 	9 	8 	8
25 	AR 	– 	– 	– 	– 	– 	– 	1 	2 	3 	4 	5 	6 	7 	7 	7 	7 	6 	4 	4 	4 	4 	4 	4 	4
26 	MI 	– 	– 	– 	– 	– 	– 	3 	4 	6 	9 	11 	12 	12 	13 	17 	17 	18 	19 	19 	18 	16 	15 	14 	13
27 	FL 	– 	– 	– 	– 	– 	– 	– 	1 	1 	2 	2 	2 	3 	4 	5 	6 	8 	12 	15 	19 	23 	25 	27 	28
28 	TX 	– 	– 	– 	– 	– 	– 	– 	2 	4 	6 	11 	13 	16 	18 	21 	21 	22 	23 	24 	27 	30 	32 	36 	38
